model,task,task_category,task_benchmark,replicate_number,accuracy,f1,mcc,sequence_length,epoch
DNABERT-1 (6-mer),splice_sites_all,Splice Sites (human),Nucleotide Transformer,4,0.9786666666666667,0.9786403628254786,0.9680086745868921,600,5.0
DNABERT-1 (6-mer),splice_sites_acceptors,Splice Sites (human),Nucleotide Transformer,4,0.9720468890892696,0.9720467981757526,0.9441505041880194,400,5.0
DNABERT-1 (6-mer),splice_sites_donor,Splice Sites (human),Nucleotide Transformer,4,0.9749658625398271,0.97496553060085,0.9499314651916884,400,5.0
DNABERT-1 (6-mer),enhancers,Regulatory (human),Nucleotide Transformer,5,0.852309694209499,0.8520842863374921,0.7047771644770187,200,4.0
DNABERT-1 (6-mer),enhancers_types,Regulatory (human),Nucleotide Transformer,5,0.7547169811320755,0.7245595747121989,0.6095189285740502,200,4.0
DNABERT-1 (6-mer),splice_sites_all,Splice Sites (human),Nucleotide Transformer,5,0.9786666666666667,0.978652766354004,0.9680497595142744,600,5.0
DNABERT-1 (6-mer),splice_sites_acceptors,Splice Sites (human),Nucleotide Transformer,5,0.9733994589720469,0.973398545134474,0.9468006520755966,400,5.0
DNABERT-1 (6-mer),splice_sites_donor,Splice Sites (human),Nucleotide Transformer,5,0.9749658625398271,0.97496553060085,0.9499314651916884,400,5.0
DNABERT-1 (6-mer),enhancers,Regulatory (human),Nucleotide Transformer,6,0.8484059856864021,0.8482186337256983,0.6968180879657506,200,4.0
DNABERT-1 (6-mer),enhancers_types,Regulatory (human),Nucleotide Transformer,6,0.7573194534808068,0.7244572509716253,0.6098564479827455,200,4.0
DNABERT-1 (6-mer),splice_sites_all,Splice Sites (human),Nucleotide Transformer,6,0.976,0.9759762489234195,0.9640532971561975,600,5.0
DNABERT-1 (6-mer),splice_sites_acceptors,Splice Sites (human),Nucleotide Transformer,6,0.9715960324616771,0.9715958881178755,0.9433659867862302,400,5.0
DNABERT-1 (6-mer),splice_sites_donor,Splice Sites (human),Nucleotide Transformer,6,0.9763313609467456,0.9763313560431657,0.9526772758303502,400,5.0
DNABERT-1 (6-mer),enhancers,Regulatory (human),Nucleotide Transformer,7,0.8581652569941445,0.8581435795306367,0.7163918123715793,200,4.0
DNABERT-1 (6-mer),enhancers_types,Regulatory (human),Nucleotide Transformer,7,0.7729342875731945,0.7419361503541815,0.6353048493162105,200,4.0
DNABERT-1 (6-mer),splice_sites_all,Splice Sites (human),Nucleotide Transformer,7,0.9816666666666667,0.9816545173933481,0.972501093851669,600,5.0
DNABERT-1 (6-mer),splice_sites_acceptors,Splice Sites (human),Nucleotide Transformer,7,0.9675383228133454,0.9675380852641576,0.9352665715713518,400,5.0
DNABERT-1 (6-mer),splice_sites_donor,Splice Sites (human),Nucleotide Transformer,7,0.9726900318616295,0.9726890756302521,0.945539390185298,400,5.0
DNABERT-1 (6-mer),enhancers,Regulatory (human),Nucleotide Transformer,8,0.8536109303838647,0.8535908503013279,0.7073038689563839,200,4.0
DNABERT-1 (6-mer),enhancers_types,Regulatory (human),Nucleotide Transformer,8,0.7774886141834743,0.7510113013052098,0.6454748361955166,200,4.0
DNABERT-1 (6-mer),splice_sites_all,Splice Sites (human),Nucleotide Transformer,8,0.9776666666666667,0.97766716092943,0.9665413646876617,600,5.0
DNABERT-1 (6-mer),splice_sites_acceptors,Splice Sites (human),Nucleotide Transformer,8,0.9706943192064923,0.9706943132494756,0.9414774222025425,400,5.0
DNABERT-1 (6-mer),splice_sites_donor,Splice Sites (human),Nucleotide Transformer,8,0.9736003641329085,0.973600227397787,0.9472585486825297,400,5.0
DNABERT-1 (6-mer),enhancers,Regulatory (human),Nucleotide Transformer,9,0.8588158750813273,0.8587201882098587,0.7174993386590488,200,4.0
DNABERT-1 (6-mer),enhancers_types,Regulatory (human),Nucleotide Transformer,9,0.7690305790500976,0.7373698230385397,0.6311062515245927,200,4.0
DNABERT-1 (6-mer),splice_sites_all,Splice Sites (human),Nucleotide Transformer,9,0.9816666666666667,0.9816497412217594,0.9725065996710597,600,5.0
DNABERT-1 (6-mer),splice_sites_acceptors,Splice Sites (human),Nucleotide Transformer,9,0.9738503155996393,0.9738499754038045,0.9477252901734674,400,5.0
DNABERT-1 (6-mer),splice_sites_donor,Splice Sites (human),Nucleotide Transformer,9,0.9763313609467456,0.9763299437275718,0.9527003475473128,400,5.0
DNABERT-1 (6-mer),enhancers,Regulatory (human),Nucleotide Transformer,10,0.8568640208197787,0.8567897595402907,0.7135911360363383,200,4.0
DNABERT-1 (6-mer),enhancers_types,Regulatory (human),Nucleotide Transformer,10,0.7657774886141835,0.7347144747844827,0.6253045564158436,200,4.0
DNABERT-1 (6-mer),splice_sites_all,Splice Sites (human),Nucleotide Transformer,10,0.977,0.9769887590509181,0.965518793239874,600,5.0
DNABERT-1 (6-mer),splice_sites_acceptors,Splice Sites (human),Nucleotide Transformer,10,0.9743011722272318,0.9743010416304587,0.948650012494807,400,5.0
DNABERT-1 (6-mer),splice_sites_donor,Splice Sites (human),Nucleotide Transformer,10,0.9736003641329085,0.9736003586635308,0.9472265361546249,400,5.0
DNABERT-1 (6-mer),H3,EMP (yeast),GUE,1,0.863059452237809,0.8629887764956004,0.7263175917108817,500,3.0
DNABERT-1 (6-mer),H3K14ac,EMP (yeast),GUE,1,0.7173978819969743,0.7109665789511137,0.4219380156970099,500,3.0
DNABERT-1 (6-mer),H3K36me3,EMP (yeast),GUE,1,0.7439793577981652,0.7365170038679278,0.47768028827976944,500,3.0
DNABERT-1 (6-mer),H3K4me1,EMP (yeast),GUE,1,0.7149621212121212,0.7109114870155915,0.4226384828841423,500,3.0
DNABERT-1 (6-mer),H3K4me2,EMP (yeast),GUE,1,0.6695992179863147,0.6481949672338416,0.3048561891295077,500,3.0
DNABERT-1 (6-mer),H3K4me3,EMP (yeast),GUE,1,0.6489130434782608,0.647205759440772,0.2945505325317392,500,3.0
DNABERT-1 (6-mer),H3K79me3,EMP (yeast),GUE,1,0.794382801664355,0.7924683101381711,0.5872408007745055,500,3.0
DNABERT-1 (6-mer),H3K9ac,EMP (yeast),GUE,1,0.74091399784095,0.7408930286332317,0.4954894526641688,500,3.0
DNABERT-1 (6-mer),H4,EMP (yeast),GUE,1,0.893223819301848,0.8912053920913448,0.7832969448872066,500,3.0
DNABERT-1 (6-mer),H4ac,EMP (yeast),GUE,1,0.6791788856304986,0.6772147649148454,0.3546783491472016,500,3.0
DNABERT-1 (6-mer),prom_300_all,Regulatory (human),GUE,1,0.9545608108108108,0.954560778397195,0.9091882900084327,300,4.0
DNABERT-1 (6-mer),prom_300_notata,Regulatory (human),GUE,1,0.9634445072545694,0.963429641101418,0.9270304716170513,300,4.0
DNABERT-1 (6-mer),prom_300_tata,Regulatory (human),GUE,1,0.8156606851549756,0.8156116155445352,0.6314360696296586,300,10.0
DNABERT-1 (6-mer),tf_0,Transcription Factor (human),GUE,1,0.83,0.8297541650142807,0.661914377084838,100,3.0
DNABERT-1 (6-mer),tf_1,Transcription Factor (human),GUE,1,0.851,0.8501113099567335,0.7104753689079207,100,3.0
DNABERT-1 (6-mer),tf_2,Transcription Factor (human),GUE,1,0.802,0.8010250226107929,0.6100076582513165,100,3.0
DNABERT-1 (6-mer),tf_3,Transcription Factor (human),GUE,1,0.774,0.773339056689306,0.5512241686032888,100,3.0
DNABERT-1 (6-mer),tf_4,Transcription Factor (human),GUE,1,0.85,0.8495613208114864,0.704118463544347,100,3.0
DNABERT-1 (6-mer),prom_core_all,Regulatory (human),GUE,1,0.8412162162162162,0.8409548198280593,0.6850701039748011,70,4.0
DNABERT-1 (6-mer),prom_core_tata,Regulatory (human),GUE,1,0.866231647634584,0.8660744735271548,0.7352774578655432,70,10.0
DNABERT-1 (6-mer),prom_core_notata,Regulatory (human),GUE,1,0.8460523836442434,0.8459909424259491,0.6928052562226242,70,4.0
DNABERT-1 (6-mer),mouse_0,Transcription Factor (mouse),GUE,1,0.7111111111111111,0.7109683794466404,0.4226398506351226,100,4.93
DNABERT-1 (6-mer),mouse_1,Transcription Factor (mouse),GUE,1,0.900815418828762,0.9007726700740015,0.8023335889679415,100,0.59
DNABERT-1 (6-mer),mouse_2,Transcription Factor (mouse),GUE,1,0.8536585365853658,0.8533914403844005,0.7099084711800413,100,12.2
DNABERT-1 (6-mer),mouse_3,Transcription Factor (mouse),GUE,1,0.8200836820083682,0.8200836820083681,0.6401960784313725,100,16.67
DNABERT-1 (6-mer),mouse_4,Transcription Factor (mouse),GUE,1,0.7015400955921403,0.7014248149151319,0.4034215282155716,100,2.12
DNABERT-1 (6-mer),reconstructed,Splice Sites (human),GUE,1,0.9114423498465585,0.9062731959382626,0.8497534923632241,400,5.0
DNABERT-1 (6-mer),H3,EMP (yeast),GUE,2,0.8710754843019372,0.8709536364623053,0.7427556343940944,500,3.0
DNABERT-1 (6-mer),H3K14ac,EMP (yeast),GUE,2,0.7155824508320726,0.7128738822534304,0.42940902208224313,500,3.0
DNABERT-1 (6-mer),H3K36me3,EMP (yeast),GUE,2,0.7376720183486238,0.7323687094986415,0.46586106273490313,500,3.0
DNABERT-1 (6-mer),H3K4me1,EMP (yeast),GUE,2,0.7209595959595959,0.7174313392879845,0.43528821059509687,500,3.0
DNABERT-1 (6-mer),H3K4me2,EMP (yeast),GUE,2,0.6666666666666666,0.6392541920672592,0.2948193799796187,500,3.0
DNABERT-1 (6-mer),H3K4me3,EMP (yeast),GUE,2,0.6358695652173914,0.6256510416666667,0.2660956714280659,500,3.0
DNABERT-1 (6-mer),H3K79me3,EMP (yeast),GUE,2,0.7985436893203883,0.7963250841299622,0.5961103427297626,500,3.0
DNABERT-1 (6-mer),H3K9ac,EMP (yeast),GUE,2,0.7466714645555955,0.7462953510857702,0.49917921643866414,500,3.0
DNABERT-1 (6-mer),H4,EMP (yeast),GUE,2,0.893223819301848,0.8917053756737647,0.7834416390813148,500,3.0
DNABERT-1 (6-mer),H4ac,EMP (yeast),GUE,2,0.6788856304985337,0.6744733943821585,0.35266783272625457,500,3.0
DNABERT-1 (6-mer),prom_300_all,Regulatory (human),GUE,2,0.9540540540540541,0.9540528741207859,0.9081111930428596,300,4.0
DNABERT-1 (6-mer),prom_300_notata,Regulatory (human),GUE,2,0.9609949123798757,0.9609922310003443,0.9219959965201246,300,4.0
DNABERT-1 (6-mer),prom_300_tata,Regulatory (human),GUE,2,0.8776508972267537,0.8775205198085085,0.7550831587907414,300,10.0
DNABERT-1 (6-mer),tf_0,Transcription Factor (human),GUE,2,0.828,0.8275689223057644,0.6593048068100431,100,3.0
DNABERT-1 (6-mer),tf_1,Transcription Factor (human),GUE,2,0.853,0.8518788711759306,0.7169363969777235,100,3.0
DNABERT-1 (6-mer),tf_2,Transcription Factor (human),GUE,2,0.803,0.8016334528567302,0.6145260869456279,100,3.0
DNABERT-1 (6-mer),tf_3,Transcription Factor (human),GUE,2,0.764,0.7624023936952066,0.5352470639105373,100,3.0
DNABERT-1 (6-mer),tf_4,Transcription Factor (human),GUE,2,0.838,0.8367929204395712,0.6862268737236785,100,3.0
DNABERT-1 (6-mer),prom_core_all,Regulatory (human),GUE,2,0.8439189189189189,0.8438104618848279,0.6890485142467646,70,4.0
DNABERT-1 (6-mer),prom_core_tata,Regulatory (human),GUE,2,0.8792822185970636,0.8792561913076808,0.759430465145061,70,10.0
DNABERT-1 (6-mer),prom_core_notata,Regulatory (human),GUE,2,0.8498209911437724,0.8497164061275022,0.7008114926859247,70,4.0
DNABERT-1 (6-mer),mouse_0,Transcription Factor (mouse),GUE,2,0.717283950617284,0.7172111090953165,0.4347919487158184,100,4.93
DNABERT-1 (6-mer),mouse_1,Transcription Factor (mouse),GUE,2,0.9002223869532987,0.9002021707473644,0.8007769096455695,100,0.59
DNABERT-1 (6-mer),mouse_2,Transcription Factor (mouse),GUE,2,0.8292682926829268,0.8290394638868205,0.6603065838601,100,12.2
DNABERT-1 (6-mer),mouse_3,Transcription Factor (mouse),GUE,2,0.8368200836820083,0.836637047163363,0.6747136232077227,100,16.67
DNABERT-1 (6-mer),mouse_4,Transcription Factor (mouse),GUE,2,0.7084439723844929,0.7083699481125675,0.417076147323379,100,2.12
DNABERT-1 (6-mer),reconstructed,Splice Sites (human),GUE,2,0.9112231477422184,0.9058633773583747,0.8490155632090555,400,5.0
DNABERT-1 (6-mer),H3,EMP (yeast),GUE,3,0.8643954575818303,0.864231639566547,0.7296398235975103,500,3.0
DNABERT-1 (6-mer),H3K14ac,EMP (yeast),GUE,3,0.7040847201210287,0.6963644787331418,0.3929414002571782,500,3.0
DNABERT-1 (6-mer),H3K36me3,EMP (yeast),GUE,3,0.7411123853211009,0.7333531773596252,0.471735586360279,500,3.0
DNABERT-1 (6-mer),H3K4me1,EMP (yeast),GUE,3,0.7149621212121212,0.7085192212286804,0.4213300799886333,500,3.0
DNABERT-1 (6-mer),H3K4me2,EMP (yeast),GUE,3,0.6705767350928641,0.6364732897247046,0.3010192705749821,500,3.0
DNABERT-1 (6-mer),H3K4me3,EMP (yeast),GUE,3,0.6448369565217391,0.6443440374851992,0.28931397643338386,500,3.0
DNABERT-1 (6-mer),H3K79me3,EMP (yeast),GUE,3,0.8033980582524272,0.8019923212793945,0.6050838015576053,500,3.0
DNABERT-1 (6-mer),H3K9ac,EMP (yeast),GUE,3,0.7578265563152213,0.7560673497110072,0.5127344747936194,500,3.0
DNABERT-1 (6-mer),H4,EMP (yeast),GUE,3,0.8884325804243669,0.8865945212329012,0.7734983083446991,500,3.0
DNABERT-1 (6-mer),H4ac,EMP (yeast),GUE,3,0.6997067448680352,0.6979235008983122,0.39606076186603056,500,3.0
DNABERT-1 (6-mer),prom_300_all,Regulatory (human),GUE,3,0.9503378378378379,0.9503371519808471,0.9008828044089834,300,4.0
DNABERT-1 (6-mer),prom_300_notata,Regulatory (human),GUE,3,0.9623139250047108,0.9622909481790798,0.9249566150453307,300,4.0
DNABERT-1 (6-mer),prom_300_tata,Regulatory (human),GUE,3,0.8140293637846656,0.8140051101884381,0.628443683499868,300,10.0
DNABERT-1 (6-mer),tf_0,Transcription Factor (human),GUE,3,0.827,0.8264360908592014,0.6582915675070663,100,3.0
DNABERT-1 (6-mer),tf_1,Transcription Factor (human),GUE,3,0.843,0.8418026039089871,0.6966265840321789,100,3.0
DNABERT-1 (6-mer),tf_2,Transcription Factor (human),GUE,3,0.826,0.8249349039556664,0.660081339434746,100,3.0
DNABERT-1 (6-mer),tf_3,Transcription Factor (human),GUE,3,0.758,0.755455761745197,0.5270841106760926,100,3.0
DNABERT-1 (6-mer),tf_4,Transcription Factor (human),GUE,3,0.859,0.8585074644838684,0.7230515307770241,100,3.0
DNABERT-1 (6-mer),prom_core_all,Regulatory (human),GUE,3,0.8449324324324324,0.8449302908789715,0.6899302128883186,70,4.0
DNABERT-1 (6-mer),prom_core_tata,Regulatory (human),GUE,3,0.8907014681892332,0.8906595673876871,0.782691171548715,70,10.0
DNABERT-1 (6-mer),prom_core_notata,Regulatory (human),GUE,3,0.8420953457697381,0.8420829598992118,0.6843671329294405,70,4.0
DNABERT-1 (6-mer),mouse_0,Transcription Factor (mouse),GUE,3,0.7246913580246913,0.7239132993300736,0.4519372053383753,100,4.93
DNABERT-1 (6-mer),mouse_1,Transcription Factor (mouse),GUE,3,0.9031875463306153,0.9031695317656572,0.806682650624128,100,0.59
DNABERT-1 (6-mer),mouse_2,Transcription Factor (mouse),GUE,3,0.850609756097561,0.850296668188042,0.7041710894732699,100,12.2
DNABERT-1 (6-mer),mouse_3,Transcription Factor (mouse),GUE,3,0.7322175732217573,0.7308558558558558,0.47012030264229754,100,16.67
DNABERT-1 (6-mer),mouse_4,Transcription Factor (mouse),GUE,3,0.7063197026022305,0.7063197026022303,0.4126398036149825,100,2.12
DNABERT-1 (6-mer),reconstructed,Splice Sites (human),GUE,3,0.898947829899167,0.8932293825907786,0.8292528329447718,400,5.0
DNABERT-1 (6-mer),H3,EMP (yeast),GUE,4,0.8603874415497662,0.8603515481159223,0.7207960519998388,500,3.0
DNABERT-1 (6-mer),H3K14ac,EMP (yeast),GUE,4,0.7068078668683813,0.698766157876296,0.39790743504841025,500,3.0
DNABERT-1 (6-mer),H3K36me3,EMP (yeast),GUE,4,0.7465596330275229,0.7411989451189931,0.48381657027337954,500,3.0
DNABERT-1 (6-mer),H3K4me1,EMP (yeast),GUE,4,0.7209595959595959,0.7150559690558519,0.4337075234231043,500,3.0
DNABERT-1 (6-mer),H3K4me2,EMP (yeast),GUE,4,0.6705767350928641,0.6465607162559728,0.30509187394169585,500,3.0
DNABERT-1 (6-mer),H3K4me3,EMP (yeast),GUE,4,0.6380434782608696,0.6379535441075717,0.28312726852034276,500,3.0
DNABERT-1 (6-mer),H3K79me3,EMP (yeast),GUE,4,0.8033980582524272,0.8026377676917813,0.6052990475025527,500,3.0
DNABERT-1 (6-mer),H3K9ac,EMP (yeast),GUE,4,0.7499100395825836,0.7496590127123482,0.5073749055381659,500,3.0
DNABERT-1 (6-mer),H4,EMP (yeast),GUE,4,0.8959616700889802,0.8944821609128991,0.7889953072595384,500,3.0
DNABERT-1 (6-mer),H4ac,EMP (yeast),GUE,4,0.6926686217008797,0.690899202320522,0.38197155800696303,500,3.0
DNABERT-1 (6-mer),prom_300_all,Regulatory (human),GUE,4,0.9540540540540541,0.9540472568075263,0.9081502828283751,300,4.0
DNABERT-1 (6-mer),prom_300_notata,Regulatory (human),GUE,4,0.9645750895044282,0.9645707105715298,0.9291416951940232,300,4.0
DNABERT-1 (6-mer),prom_300_tata,Regulatory (human),GUE,4,0.8091353996737357,0.8090052807758985,0.6180148726076552,300,10.0
DNABERT-1 (6-mer),tf_0,Transcription Factor (human),GUE,4,0.835,0.8344236286513353,0.6747138239841312,100,3.0
DNABERT-1 (6-mer),tf_1,Transcription Factor (human),GUE,4,0.84,0.8388078226563666,0.6902873877693808,100,3.0
DNABERT-1 (6-mer),tf_2,Transcription Factor (human),GUE,4,0.792,0.7916992136645316,0.5856939336629475,100,3.0
DNABERT-1 (6-mer),tf_3,Transcription Factor (human),GUE,4,0.754,0.7514137082203243,0.518912263998944,100,3.0
DNABERT-1 (6-mer),tf_4,Transcription Factor (human),GUE,4,0.849,0.8484725328869795,0.7029108196133187,100,3.0
DNABERT-1 (6-mer),prom_core_all,Regulatory (human),GUE,4,0.8430743243243243,0.8429581731306416,0.6874268140157995,70,4.0
DNABERT-1 (6-mer),prom_core_tata,Regulatory (human),GUE,4,0.8858075040783034,0.8856172563069113,0.775500291814801,70,10.0
DNABERT-1 (6-mer),prom_core_notata,Regulatory (human),GUE,4,0.8417184850197852,0.8416759362254356,0.6839263706332636,70,4.0
DNABERT-1 (6-mer),mouse_0,Transcription Factor (mouse),GUE,4,0.7382716049382716,0.7382716049382716,0.4765432098765432,100,4.93
DNABERT-1 (6-mer),mouse_1,Transcription Factor (mouse),GUE,4,0.8936990363232024,0.893672776469876,0.7877956678134062,100,0.59
DNABERT-1 (6-mer),mouse_2,Transcription Factor (mouse),GUE,4,0.8384146341463414,0.838413132186312,0.6768418509842056,100,12.2
DNABERT-1 (6-mer),mouse_3,Transcription Factor (mouse),GUE,4,0.7280334728033473,0.7278619602347376,0.4569750379850011,100,16.67
DNABERT-1 (6-mer),mouse_4,Transcription Factor (mouse),GUE,4,0.7047265002655337,0.7042820504129524,0.41074807029894517,100,2.12
DNABERT-1 (6-mer),reconstructed,Splice Sites (human),GUE,4,0.9099079351161771,0.904142919190063,0.8466280817416096,400,5.0
DNABERT-1 (6-mer),H3,EMP (yeast),GUE,5,0.8670674682698731,0.8669418324145013,0.7347281143198194,500,3.0
DNABERT-1 (6-mer),H3K14ac,EMP (yeast),GUE,5,0.6962178517397882,0.6863228433336586,0.37396757490440324,500,3.0
DNABERT-1 (6-mer),H3K36me3,EMP (yeast),GUE,5,0.7362385321100917,0.730614043099604,0.4626796392378846,500,3.0
DNABERT-1 (6-mer),H3K4me1,EMP (yeast),GUE,5,0.7149621212121212,0.711620923628291,0.4234847488445336,500,3.0
DNABERT-1 (6-mer),H3K4me2,EMP (yeast),GUE,5,0.6722059302704464,0.6284678900672351,0.30423263698625935,500,3.0
DNABERT-1 (6-mer),H3K4me3,EMP (yeast),GUE,5,0.6415760869565217,0.6395632955923002,0.27943602584301946,500,3.0
DNABERT-1 (6-mer),H3K79me3,EMP (yeast),GUE,5,0.8009708737864077,0.7993400127226464,0.6003320019156076,500,3.0
DNABERT-1 (6-mer),H3K9ac,EMP (yeast),GUE,5,0.7571068729758906,0.7568166717982789,0.5211380982084657,500,3.0
DNABERT-1 (6-mer),H4,EMP (yeast),GUE,5,0.8959616700889802,0.8945507037170697,0.7891048462621232,500,3.0
DNABERT-1 (6-mer),H4ac,EMP (yeast),GUE,5,0.680058651026393,0.6794791108009555,0.35961774880903785,500,3.0
DNABERT-1 (6-mer),prom_300_all,Regulatory (human),GUE,5,0.958277027027027,0.9582768258304295,0.916707278896354,300,4.0
DNABERT-1 (6-mer),prom_300_notata,Regulatory (human),GUE,5,0.9675899755040512,0.96758480896144,0.9351764911158641,300,4.0
DNABERT-1 (6-mer),prom_300_tata,Regulatory (human),GUE,5,0.8890701468189234,0.8889847661659742,0.7779695323319484,300,10.0
DNABERT-1 (6-mer),tf_0,Transcription Factor (human),GUE,5,0.835,0.8345352094032137,0.673796079685874,100,3.0
DNABERT-1 (6-mer),tf_1,Transcription Factor (human),GUE,5,0.839,0.8377720970022098,0.6885026588539611,100,3.0
DNABERT-1 (6-mer),tf_2,Transcription Factor (human),GUE,5,0.808,0.8073959938366718,0.6199002844761639,100,3.0
DNABERT-1 (6-mer),tf_3,Transcription Factor (human),GUE,5,0.763,0.7618662451933657,0.531081263981018,100,3.0
DNABERT-1 (6-mer),tf_4,Transcription Factor (human),GUE,5,0.844,0.8434363709353673,0.693007749061827,100,3.0
DNABERT-1 (6-mer),prom_core_all,Regulatory (human),GUE,5,0.8454391891891891,0.8454375970990617,0.6909342996495169,70,4.0
DNABERT-1 (6-mer),prom_core_tata,Regulatory (human),GUE,5,0.8809135399673735,0.8806276325863168,0.7670416937218179,70,10.0
DNABERT-1 (6-mer),prom_core_notata,Regulatory (human),GUE,5,0.8603730921424534,0.8603727748557254,0.7207676060318567,70,4.0
DNABERT-1 (6-mer),mouse_0,Transcription Factor (mouse),GUE,5,0.737037037037037,0.7370045684652426,0.47419117277267947,100,4.93
DNABERT-1 (6-mer),mouse_1,Transcription Factor (mouse),GUE,5,0.8874722016308376,0.8874072520219972,0.7758527205887383,100,0.59
DNABERT-1 (6-mer),mouse_2,Transcription Factor (mouse),GUE,5,0.8719512195121951,0.8711415422606353,0.7534310028961481,100,12.2
DNABERT-1 (6-mer),mouse_3,Transcription Factor (mouse),GUE,5,0.698744769874477,0.6975534308211473,0.4014268445628274,100,16.67
DNABERT-1 (6-mer),mouse_4,Transcription Factor (mouse),GUE,5,0.6999468932554435,0.6998114325007074,0.40022394767728525,100,2.12
DNABERT-1 (6-mer),reconstructed,Splice Sites (human),GUE,5,0.9072775098640947,0.9020258158308537,0.8436814601229059,400,5.0
DNABERT-1 (6-mer),H3,EMP (yeast),GUE,6,0.8550434201736807,0.8550341051335086,0.710068973436701,500,3.0
DNABERT-1 (6-mer),H3K14ac,EMP (yeast),GUE,6,0.7113464447806354,0.7044460067491564,0.40893539838918214,500,3.0
DNABERT-1 (6-mer),H3K36me3,EMP (yeast),GUE,6,0.7468463302752294,0.7405587174777477,0.4838623026885353,500,3.0
DNABERT-1 (6-mer),H3K4me1,EMP (yeast),GUE,6,0.71875,0.7129846258468678,0.42923547243326515,500,3.0
DNABERT-1 (6-mer),H3K4me2,EMP (yeast),GUE,6,0.6770935158031932,0.6431916582246626,0.31570227956372054,500,3.0
DNABERT-1 (6-mer),H3K4me3,EMP (yeast),GUE,6,0.6364130434782609,0.631843161885108,0.2671977057210561,500,3.0
DNABERT-1 (6-mer),H3K79me3,EMP (yeast),GUE,6,0.800624133148405,0.7995511870938187,0.5994612959515234,500,3.0
DNABERT-1 (6-mer),H3K9ac,EMP (yeast),GUE,6,0.7578265563152213,0.7571745646157771,0.518617614450278,500,3.0
DNABERT-1 (6-mer),H4,EMP (yeast),GUE,6,0.8973305954825462,0.8958705535324663,0.7917721413486503,500,3.0
DNABERT-1 (6-mer),H4ac,EMP (yeast),GUE,6,0.6964809384164223,0.694580329306503,0.38945036604155553,500,3.0
DNABERT-1 (6-mer),prom_300_all,Regulatory (human),GUE,6,0.9550675675675676,0.9550673162776773,0.9101714777098561,300,4.0
DNABERT-1 (6-mer),prom_300_notata,Regulatory (human),GUE,6,0.9677784058790277,0.9677765752788383,0.9355730141480506,300,4.0
DNABERT-1 (6-mer),prom_300_tata,Regulatory (human),GUE,6,0.8123980424143556,0.8121981303730461,0.6244352407759441,300,10.0
DNABERT-1 (6-mer),tf_0,Transcription Factor (human),GUE,6,0.828,0.8275689223057644,0.6593048068100431,100,3.0
DNABERT-1 (6-mer),tf_1,Transcription Factor (human),GUE,6,0.856,0.8554443279968198,0.7175378003775613,100,3.0
DNABERT-1 (6-mer),tf_2,Transcription Factor (human),GUE,6,0.793,0.7911148111708166,0.5968725769539243,100,3.0
