Model,Benchmark,Task,Category,Layers,char-acc,bpe-acc,char-mcc,bpe-mcc
Mamba,Nucleotide Transformer Tasks,enhancers_types,enhancers,8,0.609,0.628,0.223,0.284
Mamba,GUE,prom_core_all,promoters,4,0.794,0.794,0.590,0.589
Mamba,GUE,prom_core_notata,promoters,4,0.783,0.822,0.568,0.645
Mamba,GUE,prom_core_tata,promoters,4,0.760,0.705,0.522,0.413
Mamba,GUE,prom_300_all,promoters,4,0.911,0.803,0.824,0.900
Mamba,GUE,prom_300_notata,promoters,4,0.962,0.947,0.924,0.894
Mamba,GUE,prom_300_tata,promoters,4,0.717,0.593,0.436,0.186
Mamba,GUE,splice_site_prediction,splice sites,4,0.592,0.573,0.660,0.644
Mamba,GUE,human_tfp_0,transcription factors,4,0.824,0.816,0.689,0.679
Mamba,GUE,human_tfp_1,transcription factors,4,0.840,0.833,0.675,0.539
Mamba,GUE,human_tfp_2,transcription factors,4,0.835,0.766,0.530,0.449
Mamba,GUE,human_tfp_3,transcription factors,4,0.762,0.721,0.755,0.666
Mamba,GUE,human_tfp_4,transcription factors,4,0.877,0.828,0.162,0.210
Mamba,GUE,mouse_tfp_0,transcription factors,4,0.767,0.691,0.546,0.387
Mamba,GUE,mouse_tfp_1,transcription factors,4,0.913,0.877,0.826,0.754
Mamba,GUE,mouse_tfp_2,transcription factors,4,0.907,0.827,0.819,0.657
Mamba,GUE,mouse_tfp_3,transcription factors,4,0.856,0.685,0.717,0.373
Mamba,GUE,mouse_tfp_4,transcription factors,4,0.716,0.664,0.434,0.329
Mamba,Genomic Benchmark,demo_coding_vs_intergenomic_seqs,coding,4,0.913,0.886,0.768,0.758
Mamba,Genomic Benchmark,dummy_mouse_enhancers_ensembl,enhancers,4,0.768,0.758,0.913,0.886
Mamba,Genomic Benchmark,human_enhancers_cohn,enhancers,4,0.736,0.730,0.968,0.957
Mamba,Genomic Benchmark,human_enhancers_ensembl,enhancers,4,0.864,0.864,0.736,0.730
Mamba,Genomic Benchmark,human_nontata_promoters,promoters,4,0.920,0.914,0.864,0.864
Mamba,Genomic Benchmark,human_ensembl_regulatory,regulatory,4,0.866,0.895,0.866,0.895
Mamba,Genomic Benchmark,human_ocr_ensembl,regulatory,4,0.805,0.757,0.920,0.914
Mamba,Genomic Benchmark,demo_human_or_worm,species,4,0.968,0.957,0.805,0.757
